tweet_text,reaction_text,tweet_type,reaction_num
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",the ones the West has been killing non stop maybe?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Muslims?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",They would react the same even if the west pulled out of every Islamic country.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Why are some people of this faith so afraid of criticism that they react to violence each time?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",How do you know who was attacked? Or who the attackers were.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",How dare anyone blame Islam...It is the Jews...or the Hindus?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",This will be used to persecute innocents unfortunately,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","muhammadan cunts are really really sensitive, they use stones instead of water every morning,it hurts/burns u see",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Nice to see a ""libertarian"" advocating community/ group responsibility.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","no I'm ok, but thanks for your concern",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",knew NewsCorp be the first to react like that,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","who? Obviously, followers of religion of peace",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","a small, outlying gang of fanatics that bear no real relation to any larger movement, group of people or belief? What do I win?",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Yeah like the 10 innocent people that have been killed,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Why, do you know who did it?",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","we have no idea yet, and speculation makes you look silly, remember Anders Brevik",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",He never said he did,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I was wondering why you listed so many types of people who had been attacked. We don't know who was shot,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",You don't know who has been shot - it may have been lots of groups or just one.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",No he means attacked by the magazine. As in satirised,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",sorry I misread it. My foolishness.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","But one race is not ""better"" than another,there are other ways - ALL papers to print Hebdo fronts",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","quite, it's repeated invasions that were the problem",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Do you mean the invasion by Muslims into European Countries? MASSIMMIGRATION,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Oh god let us hope so.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","No, Muslims should get the hell out",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Just hope my god is not your god,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","I hope you're just a troll, because if you're sincere you make me ashamed to be Jewish.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Yeah, he killed a bunch of antisemitic pre-terrorists at the annual PLO-Norway tettorist Jamboree.  No Apologies",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","If you feel ashamed by what another Jew does, you are doing it wrong.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","ah, just a troll then. Good good.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I am not trolling at all.  There will be no peace until we send these people packing,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Whevs, troll.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","WW2 ended with the fully merited expulsion of 12 million germans from Czechia and Poland, followed by 50 years of peace",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","I'm not listening to a word you say. That's what you need to understand. Why on earth would I, given where you started?",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",if you genuinely want to engage with people you need to go about it differently.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","for now, I assume all you want is to cause upset and anger. That's trolling in my book. You need to earn people's attention,",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",not demand it by attacking them. Good luck.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","no-one owes you the right to listen, least of all me. Bye bye. I'm going to continue judging you as dangerous and wrong.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",So aggrieved by the truth on twitter bye imma make some Rachel Corrie pancakes for breakfast,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",at the.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",classic troll response. And I'm not aggrieved at all. I'm dismissing you out of hand. Different. :),non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Why is it nice?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","If I were trolling, and I am not, receiving an 8 part lecture would be a victory",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",well done then. You've won. Good for you. It doesn't matter to me what you think one bit. :),non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",it's a victory to prove you have nothing of value to say is it? Good for you. xxxxxxxxxxx,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Leave me alone if you are all mad, but I am not letting you get the last word",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I honestly don't understand why you people do it. What do you hope to achieve? Other than me thinking you're a waste of space?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","just to hurt someone a bit for a laugh, maybe? Well done you.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Hopefully a Muslim.  It is shock therapy.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",ha! You big hypocrite. As if that's what matters here.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","well, what if I block you? That's what trolls like isn't it? Then you can go off feeling like you've achieved something of value.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",FFS.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Idk Lets Be Friends Instead!,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","but take this with you: you are doing nothing but damage. Like I said, trolling. Pathetic and irresponsible.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I hate muslims and hope they go back go the planet tatooine,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I really meant it when I said I've written you off. It just upsets me that you have Jew in your name because you don't deserve it.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","but hey, that's trolls for you. They find a way to destroy what you love.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","why are you tweeting me, unless to get me to block you? Like I said, trolling. Meaningless words.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",You don't know anything about being Jewish,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","No, you keep making my fucking cellphone beep",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",troll,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Troll,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","No more questions, All Said.You clearly in Moron.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","that is one thing which, as a very clear matter of fact, is untrue.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",sarcasm,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Certainly makes more sense than a ""libertarian"" advocating top-down/governmental action.",non-rumours,108
