tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,0.333,0.256,0.410,0.40536153846153844,0.8271,-0.9169,0.4404,0.09009440236686396,0.104,0.754,0.142,39,non-rumours
Charlie Hebdo’s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,0.375,0.125,0.500,0.4878,0.6705,-0.9022,0.51695,0.100052065,0.149,0.660,0.192,8,non-rumours
Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota,0.258,0.194,0.548,0.4095483870967741,0.8251,-0.7906,0.4019,0.076584965723205,0.106,0.709,0.186,31,non-rumours
"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",0.500,0.250,0.250,0.4222,0.7906,-0.4767,0.4491,0.079235535,0.193,0.618,0.189,4,non-rumours
"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",0.700,0.300,0.000,0.32065,0.8555,-0.0005,0.24805,0.09463772250000001,0.204,0.736,0.060,10,non-rumours
Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,0.562,0.375,0.062,0.26815,0.6705,-0.4019,0.3397,0.059400312499999997,0.203,0.779,0.017,16,non-rumours
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,0.400,0.400,0.200,0.25004,0.5267,-0.5423,0.25715,0.0521402264,0.106,0.692,0.202,10,non-rumours
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,0.167,0.333,0.500,0.43005,0.5106,-0.7506,0.5796,0.09745115249999999,0.095,0.703,0.203,6,non-rumours
Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.,0.455,0.364,0.182,0.2816409090909091,0.6369,-0.8316,0.3293,0.06118619787190083,0.163,0.779,0.058,22,non-rumours
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",0.333,0.241,0.426,0.3724222222222223,0.9287,-0.899,0.4019,0.07758269413580245,0.132,0.724,0.144,108,non-rumours
'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,0.400,0.200,0.400,0.32389999999999997,0.6249,-0.4767,0.34,0.048087052000000005,0.134,0.772,0.093,5,non-rumours
If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,0.167,0.333,0.500,0.3181,0.5106,-0.8934,0.25229999999999997,0.10397019333333331,0.066,0.795,0.139,6,non-rumours
#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,0.143,0.214,0.643,0.43010714285714285,0.7351,-0.8176,0.5836,0.10507417066326528,0.080,0.667,0.253,14,non-rumours
"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",0.296,0.222,0.481,0.44224074074074077,0.7964,-0.886,0.3818,0.10861660908093278,0.094,0.720,0.186,27,non-rumours
French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,0.375,0.250,0.375,0.48557500000000003,0.9217,-0.7964,0.46775,0.106782506875,0.142,0.741,0.117,8,non-rumours
"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",0.500,0.250,0.250,0.33865,0.4215,-0.5719,0.39135,0.044115502499999994,0.244,0.578,0.178,4,non-rumours
